,word1,word2,label
88,svarga,upamam,B
89,prasruwa,woyaM,B
90,an,anwaM,B
91,na,ukwam,T
92,vAsa,yogyam,T
93,na,sAmarWyam,T
94,an,qjuH,T
95,xevawA,aBimuKaH,B
96,an,AwurAM,T
97,xIpwa,agneH,T
98,jFAna,niScayaH,T
99,lupwa,XErya,B
100,parama,qRiNA,T
101,aXaH,Sirasa,B
102,pra,kampawe,T
103,praxakRiNa,purassaram,T
104,asmaw,apekRayA,T
105,jiwa,klamaH,B
106,Sriya,upapannaH,T
107,nir,AlambanaH,B
108,BUri,klinna,T
109,go,vqRaH,T
110,Bojana,AxiH,B
111,nir,praBAvA,B
112,avinXya,vAriwaH,T
113,ISa,AxyAn,B
114,prAsAxa,AxIn,B
115,cawuH,xvAraM,B
116,pra,mawwaM,T
117,para,saMSrayAw,T
118,sa,Jampam,B
119,maha,qRiNA,T
120,XannA,nAma,B
121,nirvqwwa,aBiRekam,B
122,kROra,karmiNA,T
123,cawuR,paxI,B
124,java,uparoXaH,T
125,vikaca,vaxanA,B
126,vispaRta,lakRaNA,B
127,veNu,nAxaH,T
128,mahaw,hanuH,T
129,hqwa,svAH,B
130,cirakAla,pAliwam,T
131,Buja,xaNdEH,T
132,puswaka,AxInAm,B
133,wUla,Bariwam,T
134,su,gamBIrAM,T
135,wri,xaNdI,B
136,ugra,cApam,B
137,viMSawi,kroSAn,T
138,sa,lajjam,B
139,a,vraNO,B
140,pqWivi,inxra,T
141,vAma,afgulyAm,T
142,vi,rAgI,T
143,pra,lalAtAH,B
144,bahu,viXAH,B
145,na,mAyayA,T
146,SAnwa,amarRam,B
147,viRAxa,vimuKaH,T
148,kqRNa,aXamAm,B
149,nir,rogam,B
150,anvarWa,nAmA,B
151,sa,Xanam,B
152,viKyAwa,vIryasya,B
153,yaWA,arWa,A
154,yaWA,viBAgena,A
155,yukwa,leKawA,B
156,Bakwi,ciwrasya,T
157,vIwa,rAgeNa,B
158,paraM,wapaH,B
159,na,nirIkRiwawayA,T
160,sam,avApya,T
161,hawa,bAnXavAH,B
162,puruRa,rUpaH,B
163,gala,pAkaH,T
164,pari,spqRtaH,T
165,wapaH,XanaH,B
166,sama,akRam,A
167,upa,inXanaH,T
168,sneha,vimarxanAw,T
169,brahma,sameByaH,T
170,upacAra,pUrvakam,B
171,BAva,upapannawA,T
172,su,sAXyam,T
173,nir,voDum,T
174,wapas,mUlaM,B
175,Cinna,xruma,T
176,caru,xvayaM,T
177,a,sWAne,T
178,nava,yuvakE,T
179,uwpanna,wyAginaH,T
180,sahasra,bAhu,T
181,su,xaMRtraM,B
182,a,xviwIyAH,B
183,maXye,Bavanam,A
184,harRa,ullAsa,D
185,priya,maNdanA,B
186,xur,hqxaH,B
187,viMSawi,varRAH,B
188,maha,qRe,T
189,uxyawa,xaNdasya,B
190,xvaMxvq,ArAmeRu,B
191,vaniwA,vigrahaH,B
192,sa,viXi,B
193,waw,parasya,B
194,praWama,xivasAw,T
195,uxa,manWaM,T
196,mahaw,AxareNa,T
197,yaWA,sWAnaM,A
198,a,sAXuvaw,T
199,rOxra,karmA,B
200,rakRA,sahAyAH,B
201,kamala,AkAram,B
202,saw,SIla,T
203,sawwva,guNaH,T
204,acCa,upasevayA,T
205,sa,SiRyeNa,B
206,na,SlAGyam,T
207,grahaNI,gawAH,T
208,paFca,rawO,B
209,rAma,sahiwaH,T
210,nir,arWa,B
211,jFAna,agniH,T
212,Xarma,parAyaNAH,B
213,sakwa,sAyakam,B
214,xevakula,XUmena,T
215,na,sAXye,T
216,hiwa,kAmena,B
217,xuRta,sevikA,T
218,a,CalAm,B
219,Xarma,anuSAsanam,T
220,janiwa,prakopaH,B
221,cara,acaram,D
222,brahma,BUwaH,T
223,xvi,jAwiByaH,B
224,aXika,aXikam,T
225,sam,preRiwA,T
226,eka,puwraH,B
227,pUrNa,bimbam,B
228,saw,kqwEH,B
229,saMmawi,lakRaNam,T
230,ni,swabXam,T
231,vijiwa,AwmA,B
232,ari,safGAH,T
233,kRINa,koSaH,B
234,laGu,grAme,T
235,parvawa,pqRTam,T
236,sa,rakwaM,B
237,Svewa,vAhe,T
238,yaWA,sAXyam,A
239,sva,sevakAn,T
240,bahu,xakRiNEH,B
241,grahaNa,samarWam,T
242,lABa,alABO,D
243,sarva,kAryeRu,T
244,xuRta,AwmAna,T
245,yajFa,maNdalam,T
246,upa,Ayukwasya,T
247,vi,XanuRaH,B
248,Xavala,canxraH,T
249,samAroha,pUrvakam,B
250,aBijana,saMpannAH,T
251,vipra,kqwAH,T
252,praWama,vyavasAyI,T
253,lOha,argalAm,T
254,kalaha,priyAm,B
255,na,upasWiwAyAm,T
256,xuRta,AwmA,B
257,su,muKaH,B
258,canxra,vakwram,B
259,xur,AwmAnaH,B
260,a,prawimaM,B
261,sa,balAhakaH,B
262,aSru,locana,B
263,na,nirIkRiwa,T
264,sixXa,haswaH,B
265,sa,nivarwanam,B
266,sa,Sramam,B
267,miwa,ojasA,B
268,sa,mArxavam,B
269,yaWA,xravyaM,A
270,XUwa,kalmaRAn,B
271,kqwA,AwmawuRtiH,B
272,gqha,nirmiwe,T
273,wyakwa,prANAH,B
274,pra,rUDam,T
275,xur,vyavahAraH,T
276,aviBAga,gawA,T
277,sama,buxXayaH,B
278,awi,kramya,T
279,aBi,asUyawi,A
280,Ananxa,magnaH,T
281,xurbala,inxriyEH,B
282,manasa,Ipsiwam,T
283,brahma,yoniH,B
284,sawya,loke,T
285,anna,pAnaM,D
286,nIca,xrumA,B
287,rugNa,SAKam,B
288,vigawa,saMSayA,B
289,sa,AkAram,B
290,sikKa,janAnAm,T
291,priya,AwiWyAH,B
292,kRawaja,BojanaH,B
293,prasannA,AwmA,B
294,xeha,araNiH,T
295,nagaraH,upAnwe,T
296,parama,qRiNAM,T
297,gOda,viRaye,T
298,harixAsa,mahoxayasya,T
299,vinivqwwa,kAmAH,B
300,uxvigna,hqxayaH,B
301,rakRaNa,Awmakam,B
302,Awma,mokRaNAw,T
303,vexa,niScayAH,B
304,saMnihiwa,apAyaH,B
305,sAXu,pramuKaM,T
306,vAswavika,kavInAm,T
307,kqwa,prajFaM,B
308,mAsa,xvaye,T
309,na,kRaraM,T
310,vyavasAya,AwmikA,B
311,ugra,caryam,T
312,ikRu,xaNdena,T
313,nir,ahafkAraH,B
314,saMSaya,Awmakam,B
315,karaBa,nisvanAH,B
316,a,pUrvAH,B
317,jihvA,nirleKanAni,B
318,suvarNa,varNA,B
319,siMha,ArUDaH,T
320,BUwa,upaGAwaH,T
321,vivara,pUrNam,T
322,sva,BUmO,T
323,wyakwa,upAwwAH,B
324,sAXu,veSaH,B
325,waw,avAcyam,T
326,SrAxXa,Axi,B
327,sevA,nivqwweH,T
328,prajFA,nABiH,B
329,Bava,aBavO,D
330,svara,XvaniBiH,T
331,kqwa,aparAXaH,B
332,sa,Safkiwam,B
333,a,prawikUlAn,T
334,krUra,koRTasya,B
335,hIna,avasWAm,T
336,kRuXA,pIdiwena,T
337,gqXra,xqRtiH,B
338,Bojana,Axikam,B
339,grIRma,anwAn,B
340,inxriya,arWAH,T
341,wri,bIjam,B
342,nArAyaNa,Awmakam,B
343,vqxXa,rAmanAWasya,T
344,viRama,iRuNA,B
345,Srowra,AxiBiH,B
346,prakoRTa,baxXAm,T
347,a,wiWi,B
348,parawra,arWam,T
349,Almisa,nAma,B
350,manxa,agnayaH,B
351,mahAn,raWaH,B
352,wriH,ahnaH,B
353,uwpaWa,prawipannasya,T
354,na,jAnan,T
355,yajFa,BUmim,T
356,sanwavinobA,AKyaH,B
357,SAnwa,SokaH,B
358,xaSa,aXipawayaH,T
359,saM,sWApya,T
360,asu,niBqwaH,B
361,parvawa,upamam,B
362,sa,uwkaNTaM,B
363,sva,varwmani,T
364,mUDa,yoniRu,B
365,maXya,balaM,T
366,pUrva,muxrAm,T
367,na,xviwIyam,B
368,Xarma,pare,B
369,A,hiNdanwe,T
370,su,caNdAH,T
371,vqxXa,pawim,T
372,SIwa,cCAyaH,B
373,miwa,upamam,B
374,pra,boXanasya,T
375,saMBAviwa,AwmA,B
376,apara,BAge,T
377,a,xakRe,T
378,xasyu,vaXe,T
379,sa,hqxaya,B
380,vi,kAryawAM,T
381,rawna,vyavasAyinaH,T
382,SarIra,Awmani,B
383,prahqRta,muxiwaH,T
384,yaWA,BAgam,A
385,jagaw,wAwam,T
386,mAla,AKyam,B
387,Bavaw,avawaraNena,T
388,mahaw,iRvAsaH,B
389,vepamAna,wanuH,B
390,xvi,prasqwaM,B
391,sumahaw,kAryam,A
392,awi,mAnavAH,T
393,viRNu,AxInAm,B
394,mAna,avamAnam,D
395,vixeSi,SAsakeByaH,T
396,nir,xoRAn,B
397,sa,xoRam,T
398,yaWA,sWAnam,A
399,SaraNa,AgawAyA,T
400,vigawa,rogA,B
401,mahaw,vIryaH,B
402,ava,sWiwAH,T
403,kalpanA,vilasiwam,T
404,kqwa,uxakAH,B
405,an,AkASam,B
406,na,ahaMkAra,T
407,Awma,saMyamaH,T
408,sa,arWakAni,T
409,campakA,aBiXAnAyAm,B
410,sWAna,BraRtAH,T
411,xvi,wrANi,B
412,waw,mUlAH,B
413,Agawa,saMBramam,B
414,BrAMnwa,manA,B
415,niyawa,caryAM,B
416,na,kiFcanaH,B
417,sawya,pareNa,B
418,baxXa,haswA,B
419,Agamana,vqwwam,T
420,A,xaSamAw,A
421,manxa,buxXIn,B
422,canxramuKI,nAmikAyE,B
423,agni,AxO,B
424,vArwA,upakramam,T
425,vajra,BinnaH,T
426,SApa,vimukweH,T
427,cawur,afgulEH,T
428,sa,uxakA,B
429,Pala,AhAraH,T
430,Bakwa,janAnAm,T
431,raNa,ajire,T
432,cawur,viXam,B
433,hawA,aSe,B
434,Rat,BAgaM,T
435,nir,GqNam,B
436,kqRNa,sarpam,T
437,ni,graheNa,T
438,xvi,guNiwa,B
439,saMskqwa,CAwraH,T
440,moha,kAle,T
441,xuRta,mawiH,T
442,Asanna,warawAm,T
443,hawa,SiRtAH,T
444,vara,vixagXena,T
445,na,prAsaMgikam,T
446,viSaxa,pravqwwaH,T
447,kAma,vihAriNaH,T
448,saMkRipwa,rUpam,B
449,sa,cewanaM,B
450,na,kuwsiwe,T
451,hiwa,ahiwe,D
452,rAma,sugrIvayoH,D
453,agra,viRANAByAm,T
454,Agama,sWaH,T
455,prAyaSciwwa,viXAnena,T
456,wyakwa,upAwwaM,B
457,pravivikwa,jane,B
458,xvi,jAwiBiH,B
459,hawa,prawiBa,T
460,amara,prawimAH,B
461,wrE,vixyAnAM,B
462,pra,SAsaka,T
463,OxXawya,pUrNam,T
464,na,caram,T
465,punarvasu,nakRawram,T
466,sa,suKaM,B
467,kqRNa,BaginI,T
468,nyaswa,karaH,B
469,xvi,guNaH,B
470,nakula,ulUkaM,D
471,hiraNyaka,nAmA,B
472,wapaH,Xana,B
473,na,prawyASiwam,T
474,sa,Ananxam,B
475,arXa,samiwAyAH,T
476,sam,AyojanIya,T
477,vakra,SikRiwAnAm,T
478,paFcan,xaSaByaH,T
479,na,kRayyam,T
480,na,prawiRTaM,B
481,waw,ugravAxinAm,T
482,mahaw,kAryeRu,T
483,ava,gAhya,T
484,sa,lAvaNyam,B
485,na,icCan,T
486,maraNa,anwaM,B
487,a,uwwamAm,B
488,gO,SAlAyAm,T
489,kqwa,uxyamaH,B
490,sawya,paraH,T
491,sa,AvaraNam,B
492,akRayya,sAyakAn,T
493,vEra,agniH,T
494,Xarma,praXAnena,B
495,UrXva,SiKaH,T
496,hema,viBURiwAH,T
497,aBinanxana,arWam,T
498,niyama,anusAram,T
499,bali,paSUn,T
500,sa,cewanawAm,B
501,an,uwwamam,B
502,vyakwa,AwmakaM,B
503,sa,ciwram,B
504,sva,caFcvA,T
505,na,kiFciwkarI,T
506,baka,BakwaH,T
507,Alepana,arWe,T
508,jiwa,inxriyam,B
509,eka,rasyam,T
510,ajA,suwam,T
511,wrixiva,saxmanAm,B
512,wIkRNa,agram,B
513,iwi,Axaya,B
514,cala,acalam,D
515,hqxaya,anugawA,T
516,Cinna,nAsikAm,B
517,na,BAginI,T
518,bAhya,Adambarasya,T
519,waw,kqwam,T
520,naRta,AwapaH,B
521,kqwwa,haswaH,B
522,suKiwa,xuHKiwAH,D
523,mqxu,pUrvaM,T
524,A,sWAya,T
525,saw,vqwwasya,T
526,huwa,agnayaH,B
527,saha,uxarO,B
528,ABAra,praxarSanam,T
529,kumuxa,AxyAH,B
530,cawur,akRareRu,T
531,wanwra,AxIni,B
532,sa,puwraH,B
533,xuR,kqwIn,T
534,sa,Awafkam,B
535,anila,vegam,B
536,su,gawiM,T
537,laGu,AkAram,T
538,SApa,mukwaH,T
539,kqwa,AwmaBiH,B
540,paxArWa,anAnwara,T
541,su,spaRtam,T
542,SEla,woraNam,B
543,labXa,vixya,B
544,moha,vaSaM,T
545,maha,uwsAhaH,B
546,sa,nAWA,B
547,praBUwa,mawsye,B
548,maXya,xeSIyaH,T
549,xur,mawiM,B
550,vinipAwa,anwA,B
551,iRur,lipwaH,T
552,na,anyena,B
553,wax,karwanam,T
554,vi,kiran,T
555,sarva,lokAn,T
556,jala,rUpam,B
557,a,xoREH,B
558,SAnwi,pUrvakam,B
559,a,jFAnam,T
560,upa,cacAra,T
561,xina,maNi,T
562,na,wvariwam,T
563,gupwA,AwmA,B
564,loBa,kUlAM,B
565,na,icCanwam,T
566,sa,SafkiwA,B
567,sa,SaraBAH,B
568,pra,sakwasya,T
569,sa,huMkAram,B
570,sa,balam,B
571,A,cUdAnwam,A
572,sa,jalA,B
573,sa,vanAH,B
574,nis,sAriwam,T
575,snigXa,uRNaM,D
576,sam,upaviRtA,T
577,laGu,nagaryAm,T
578,vaswra,XAraNam,T
579,niH,AwmA,B
580,gawa,sAra,B
581,prApwa,kAlasya,B
582,na,pravqwwiH,B
583,A,KyAwaM,T
584,awi,balEH,B
585,aswra,japwena,T
586,xama,yajFAH,B
587,awi,ciram,T
588,sawwva,jijFAsAM,B
589,avinIwa,manuRyaM,B
590,aXaH,muKI,B
591,vyakwa,saMjFakaH,B
592,BAva,ASriwaH,T
593,waru,kotarAw,T
594,pafka,magnAnAm,T
595,niwya,apakAriRu,B
596,sa,XEryam,B
597,vqka,uxaraH,B
598,su,saMwuRtA,T
599,kopa,jvaliwAm,T
600,pIwa,vaswravaw,T
601,Agawa,vijFAnA,B
602,Kinna,manaskA,B
603,sarva,suKasya,T
604,xur,BikRam,T
605,xivya,puruRAya,T
606,praNAma,Axi,B
607,newra,viRayIkqwya,T
608,vanya,jIvAnAM,T
609,sa,pawnI,B
610,koti,aXipawiH,T
611,vexa,AwmA,B
612,prawyAgawa,prANA,B
613,nir,apekRa,B
614,xeva,Awmake,B
615,na,nyUnam,T
616,xivya,siMha,T
617,mahaw,nAgam,T
618,mahA,PalaH,B
619,nara,SArxUla,T
620,xaXi,priyaH,B
621,na,viSvAsasya,T
622,brahma,varjiwaH,B
623,nAnA,rUpAn,B
624,sa,afgAH,B
625,sawya,AwmA,B
626,sakwa,Awma,B
627,Xarma,mUrwyA,B
628,sa,karNAHn,B
629,afga,colakena,T
630,pafkwi,cinwane,T
631,na,wiWinA,B
632,prasanna,upaciwaM,D
633,sOmya,vapuH,B
634,sammArjana,parAH,B
635,BIma,vikramaH,B
636,laliwa,wripuNdra,T
637,a,XanaH,B
638,xeva,sanniXO,T
639,na,SASvawam,T
640,Sabxa,wanmAwre,T
641,wIkRNa,xaMRtraH,B
642,kRawa,afgena,T
643,guhA,muKAw,T
644,awi,prasannam,T
645,SOrya,pUrNAm,T
646,aXyApaka,paxam,T
647,BrAnwi,cewasam,T
648,xqDa,saMBARaH,B
649,maXyama,puwrasya,T
650,sawya,niwyaH,B
651,afgerikA,haswA,B
652,na,yaWAvaw,T
653,gala,pASaM,T
654,na,xqSya,T
655,a,viparIwAnAM,T
656,jiwa,haswAH,B
657,xvAra,niroXena,T
658,uxxaNda,svaBAvAH,B
659,waw,sOnxaryam,T
660,su,vicArya,T
661,eka,arNavAM,B
662,SAraxvawa,AxayaH,B
663,bANa,gocare,T
664,arvAk,srowasAm,B
665,awisaMkRepa,viswaraH,T
666,an,alpam,T
667,brahma,ujJaH,B
668,prIwa,manAH,B
669,hawa,sEnyaH,B
670,sam,upalAliwA,T
671,Xarma,SIlAnAM,B
672,viSva,Awmane,T
673,kRINa,inxriyaM,B
674,mahA,ipsavaH,B
675,kRawi,mUlyaM,T
676,swamBa,AkAraH,T
677,na,karmaNi,T
678,evam,viXe,B
679,xakRiNa,uwware,D
680,xakRiNa,uwwarawaH,D
681,nija,karAByAm,T
682,nixrA,anviwaH,T
683,mahaw,uxayaH,B
684,su,SIlA,B
685,eka,agram,B
686,sa,kalakalam,B
687,Sakran,purogamAn,B
688,kAnwi,yukwam,T
689,gawa,AsavaH,B
690,naRta,AwmAnaH,B
691,su,manwriwam,T
692,a,xaNdyA,T
693,Kexa,miSriwena,T
694,xawwa,anulepanAm,B
695,kAma,grAheNa,B
696,sarva,saMpaxaH,T
697,campA,aBiXAm,B
698,BAskarAcArya,aBiXa,B
699,nir,XanO,B
700,yaWA,SIGram,A
701,kamala,Alaye,B
702,sa,puRpAyAm,B
703,karNa,pASa,T
704,sam,uwpanna,T
705,sa,vAsaH,B
706,sa,kuSalaH,B
707,varNana,awIwA,T
708,hIna,jIvanam,T
709,yAjana,aXyApanAw,D
710,muni,BAryA,T
711,karaFjabIja,edagajaM,D
712,parama,xyuwiH,B
713,kqwa,vixyAH,B
714,sva,yUWyeRu,T
715,rawna,XAraNe,T
716,sam,upAgamaw,T
717,praSna,aRtakena,T
718,mahenxra,AxyAH,B
719,wri,xaSAnAm,B
720,puNdarIka,akRan,B
721,URma,BAvaH,T
722,Gora,AkArA,B
723,sparSa,mAwreNa,T
724,sa,camawkqwi,B
725,SiraH,snAwam,B
726,xIpwa,yaSasAM,B
727,kqwa,uxyamasya,B
728,ArakRi,viBAge,T
729,sa,Saswram,B
730,prawi,rUpakEH,T
731,ekaw,CawrAM,B
732,mahA,bAhuM,B
733,na,paviwram,T
734,pIna,vakRAH,B
735,paFca,BUwAwmake,B
736,pra,calanwi,T
737,eka,para,B
738,rAkeSa,nAmA,B
739,a,sahAyena,B
740,upahawa,AwmanaH,B
741,na,AxiwvAw,B
742,anwapura,aBimuKam,T
743,SOrasenI,mAwaH,B
744,nir,rasam,B
745,xuRta,cewasA,T
746,parama,AwmanaH,T
747,sa,varuNAH,B
748,komala,afgI,B
749,anu,BARya,T
750,a,hiwA,B
751,niR,prANaH,B
752,karmma,AKyam,B
753,na,nikewaH,B
754,mahA,vIrye,B
755,rela,yAnena,T
756,Bavaw,kAraNawaH,T
757,asmaw,viXAnAm,T
758,niH,SeRawAM,B
759,wrEguNya,viRayAH,B
760,ramBA,AxInAm,B
761,bahu,rUpasya,B
762,grAmi,kqwyaM,T
763,kqwa,ASrayaH,B
764,ni,pawiwaH,T
765,sa,SarIrAH,B
766,sarva,aparAXeRu,T
767,arGya,Axi,B
768,nir,aparAXAnAm,B
769,ganXa,wanmAwram,T
770,eka,mAsaH,T
771,guNa,anviwAH,T
772,sa,amlA,B
773,kqwa,upahAram,B
774,upaBogya,vaswUnAM,T
775,pra,gawiH,T
776,bahu,samayaH,T
777,wyakwa,AhArAH,B
778,rAjya,aXikArin,T
779,vi,rUpANAM,B
780,xuH,jAwaH,T
781,sarva,vyApakaH,T
782,sarva,nASanAya,T
783,a,niXanam,B
784,bIBawsa,lakRaNam,B
785,haraxeva,gqham,T
786,lakRya,kruXam,B
787,uxyoga,para,T
788,wikwaka,upahiwAni,T
789,amqwa,arWam,T
790,a,sakwena,T
791,mqxu,koRTAH,B
792,na,xqRtam,T
793,sahAnuBUwi,pUrNayA,T
794,rakRiwa,AwmA,B
795,xawwa,avaXAnena,B
796,amiwa,wejasA,B
797,niwya,wanuH,B
798,sa,SAli,B
799,vi,lakRaNam,T
800,wakra,sixXA,T
801,praWama,wale,T
802,paFca,wrikA,B
803,kuSala,XarmAH,B
804,su,laBAH,T
805,ni,kqwaM,T
806,Xarma,niScaye,T
807,pafka,xigXAH,T
808,sawyaBAmA,saKIBiH,T
809,waw,anumAnam,T
810,Kadga,sahAyaH,B
811,vakRa,sWalAni,T
812,aBinIwa,arWam,B
813,manxa,AwmA,T
814,sa,RodaSEH,B
815,waw,xarSanAw,T
816,svEra,AsanaH,B
817,yaWA,kAmaM,A
818,a,meXyAw,T
819,paxAwi,bahulA,B
820,sa,bARpe,B
821,uRNa,uxakaM,T
822,Sakra,pramuKEH,B
823,Siwa,XArEH,B
824,nir,XanaM,B
825,pra,vAxinaH,T
826,hrasva,afgaH,B
827,sa,vasavaH,B
828,nUwana,vaswrANi,T
829,prawi,Palan,T
830,mqxu,maXurAH,T
831,vi,manA,B
832,vipula,aMsaH,B
833,Gotaka,yAnena,T
834,UrXva,rewasAm,B
835,XqRta,keSA,B
836,avApwa,kAmaH,B
837,varuNa,AxeH,B
838,sa,uxaram,B
839,paFca,BOwike,T
840,wava,sOnxaryaM,T
841,nava,SikRiwA,T
842,pra,kRipwam,T
843,sa,vqnwam,B
844,xqRti,praNaRtAnAM,B
845,jagaxxeva,nAmAnam,B
846,sva,SirasoH,T
847,an,ApwAH,T
848,nAnA,karmasu,T
849,parAkrama,SIlaH,B
850,vixvas,varyEH,T
851,niyawa,inxriyAH,B
852,pra,kRubXam,T
853,a,vixyamAnamiwraM,B
854,vi,jFAwaH,T
855,a,xakRiNam,B
856,pra,hasan,T
857,xqDa,vrawam,B
858,na,Sakya,T
859,nir,AbAXA,B
860,prayawa,AwmanaH,B
861,vara,varNinIm,B
862,aXi,xEvaM,A
863,xqRta,mAwram,T
864,sa,wikwakam,B
865,niyawa,AwmA,B
866,gawa,vyaWAH,B
867,aRtan,uwwaram,B
868,an,aGaH,B
869,brahma,swenAH,B
870,snehana,bqMhaNI,T
871,senA,paweH,T
872,sa,xAraH,B
873,na,sAXAraNAH,T
874,vyAyAma,uxvarwanaM,D
875,Xana,sampAxane,T
876,sahasra,akRa,B
877,saMxqRta,SOryO,B
878,nagara,sWEH,T
879,Bojya,aBojyaM,D
880,kAla,AkqRtaH,T
881,xvanxva,mohena,T
882,wuRA,agniH,T
883,vIwa,rAgaH,B
884,upakArya,AxIn,B
885,su,gupwAni,T
886,su,karaH,T
887,puRpa,aFjalim,T
888,jiwa,AwmanaH,B
889,hema,varNaM,B
890,xEva,kqwaH,T
891,prANAyAma,parAyaNAH,B
892,upa,jIvawA,T
893,kroXa,AviRtaH,T
894,BUmi,hInAnAm,T
895,uxIrNa,piwwA,B
896,kARTa,ApaNam,T
897,qRi,coxiwam,T
898,rakRiwa,manwraH,B
899,su,SirAH,B
900,bala,anviwAH,T
901,kARAya,vasanAH,B
902,na,sahAya,T
903,saM,wApiwAH,T
904,a,hiwAni,T
905,BAva,svaBAvaH,T
906,a,sAMprawam,T
907,nava,nirmiweRu,T
908,urvaSI,AxayaH,B
909,na,vaXyAm,T
910,samaya,nASasya,T
911,xvi,vAram,T
912,nir,makRikam,A
913,wri,cakRuH,B
914,na,mUDAH,T
915,puNya,Awman,B
916,sixXi,upAyAH,T
917,prAwar,kAlam,T
918,xawwa,ciwwAyA,B
919,Bqkuti,BIRaNam,B
920,ava,lipwAH,T
921,sarva,lakRma,B
922,Ayawa,IkRaNA,B
923,asmaw,prArWiwaH,T
924,bahva,pawyA,B
925,sanXyA,aruNA,T
926,aSIwi,prAyA,T
927,xuHKa,Alaya,T
928,ARADa,AxO,B
929,nir,janam,B
930,SIwa,uRNam,T
931,na,sahajam,T
932,su,sWirA,T
933,paFca,janAnAm,T
934,su,vijFAwam,T
935,BUwa,grAmaH,T
936,kroXa,AviRta,T
937,sanwawi,rahiwaH,T
938,kRINa,rAgam,B
939,ava,ruxXaH,T
940,xEva,saMjFakam,B
941,Xarma,AkrAnwasya,T
942,vixyA,vqxXopasevayA,T
943,vipra,AxyEH,B
944,mahaw,anuBAvaH,B
945,sa,upasargAm,B
946,xuH,warAm,T
947,sa,saMramBam,B
948,SleRma,sifGANakaM,D
949,mahaw,vikramaH,B
950,rAkRasa,inxrasya,T
951,paxma,mAlinI,B
952,eka,kAlam,T
953,gADa,anurAgaH,T
954,alpa,cewasaH,B
955,xuRta,mawe,B
956,mahaw,javaH,B
957,gupwa,rUpeNa,T
958,aXaH,muKAH,B
959,vipaNi,sWiwe,T
960,sa,vinayaM,B
961,na,safgawaH,T
962,capaNduka,AKyA,B
963,pqWu,grIvAH,B
964,Xarma,niwyaH,T
965,svawanwra,spqhA,B
966,xraRtu,kRamaH,B
967,BUwa,AwmAnaM,B
968,sa,vixyuwam,B
969,sa,xAraM,B
970,Sabxa,brahmA,T
971,saxyaH,Xiyam,B
972,yaWA,gawaH,A
973,wrE,vixyeRu,B
974,vana,xAhasya,T
975,wyakwa,Xarmasya,B
976,pravacana,patuH,T
977,anaMwa,mUrXA,T
978,nAmaXeya,anurUpasya,B
979,mahA,manAH,B
980,a,niwyawA,T
981,xaNda,saMjFiwaH,B
982,na,vyakwAw,T
983,an,upaxiRtaM,T
984,upAya,XarmAn,T
985,saMSoXana,guNAH,T
986,a,rocakam,T
987,sAyam,kAla,T
988,xagXa,uxarasya,B
